Case,Name,Rank,Badge,Incident Date,Location,Precinct,Allegation,Disposition,Discipline,
200603-0050,WENDELL J TOLBER,Police Officer,2152,2005-12-25 0:16:00,Street/Alley,9,Injury during arrest,Officers Actions within Policy,,
200701-0078,WENDELL J TOLBER,Police Officer,2152,2006-12-20 1:16:00,Bar,14,Individual Issued Mace,Officers Actions within Policy,,
200701-0098,WENDELL J TOLBER,Police Officer,2152,2006-12-31 4:16:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200706-0111,WENDELL J TOLBER,Police Officer,2152,2007-06-08 17:40:00,Public Building or Property,9,Individual Issued Mace,Officers Actions within Policy,,
200710-0114,WENDELL J TOLBER,Police Officer,2152,2007-09-28 18:36:00,Business Building Or Property,9,Individual Issued Mace,Officers Actions within Policy,,
200808-0024,WENDELL J TOLBER,Police Officer,2152,2008-07-21 2:06:00,Police Vehicle,13,Injury after arrest (transporting / processing),Officers Actions within Policy,,
200901-0068,WENDELL J TOLBER,Police Officer,2152,2008-12-16 20:35:00,Public Building or Property,9,Striking Hands / Feet,Officers Actions within Policy,,
200901-0068,WENDELL J TOLBER,Police Officer,2152,2008-12-16 20:35:00,Public Building or Property,9,Individual Issued Mace,Officers Actions within Policy,,
200901-0068,WENDELL J TOLBER,Police Officer,2152,2008-12-16 20:35:00,Public Building or Property,9,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
201203-0151,WENDELL J TOLBER,Police Officer,2152,2012-03-09 6:34:00,Private Residence or Property,9,Force,Unfounded,,
201207-0006,WENDELL J TOLBER,Police Officer,2152,2012-07-02 9:45:00,Private Residence or Property,9,Force,Unfounded,Documented Constructive Counseling,
201307-0302,WENDELL J TOLBER,Police Officer,2152,2013-06-30 14:03:00,Private Residence or Property,9,Injury during arrest,Officers Actions within Policy,,
201406-0262,WENDELL J TOLBER,Police Officer,2152,2014-04-24 10:47:00,Business Building Or Property,9,Injury during arrest,Officers Actions within Policy,,
201512-1025,WENDELL J TOLBER,Police Officer,2152,2015-12-19 14:30:00,Business Building or Property,9,Force,Unfounded,,
200108-0221,MARK A NELSON,Police Officer,2153,2001-07-08 1:57:00,Private Residence or Property,7,"Injury during contact with officers, no arrest made",Officers Actions within Policy,,
200206-0041,JUSTIN P VIAU,Police Officer,2154,2002-05-31 17:15:00,Police Vehicle,9,Individual Issued Mace,Officers Actions within Policy,,
200206-0073,JUSTIN P VIAU,Police Officer,2154,2002-06-04 19:00:00,Police Vehicle,9,Individual Issued Mace,Officers Actions within Policy,,
200208-0093,JUSTIN P VIAU,Police Officer,2154,2002-08-07 14:43:46,Street/Alley,9,Injury during arrest,Officers Actions within Policy,,
200210-0054,JUSTIN P VIAU,Police Officer,2154,2002-08-17 19:45:00,Street/Alley,9,Injury during arrest,Officers Actions within Policy,,
200211-0053,JUSTIN P VIAU,Police Officer,2154,2002-10-15 16:45:00,Police Headquarters,H,Injury after arrest (transporting / processing),Officers Actions within Policy,,
200211-0258,JUSTIN P VIAU,Police Officer,2154,2002-11-06 18:30:00,Private Residence or Property,9,Striking Hands / Feet,Officers Actions within Policy,,
200302-0043,JUSTIN P VIAU,Police Officer,2154,2002-12-28 15:00:00,Police Vehicle,9,Individual Issued Mace,Officers Actions within Policy,,
200303-0213,JUSTIN P VIAU,Police Officer,2154,2003-02-25 21:30:00,Street/Alley,9,Injury after arrest (transporting / processing),Officers Actions within Policy,,
200303-0267,JUSTIN P VIAU,Police Officer,2154,2003-03-11 18:45:00,Street/Alley,9,Striking Hands / Feet,Officers Actions within Policy,,
200312-0152,JUSTIN P VIAU,Police Officer,2154,2003-11-29 16:00:00,Private Residence or Property,9,Striking Hands / Feet,Officers Actions within Policy,,
200312-0152,JUSTIN P VIAU,Police Officer,2154,2003-11-29 16:00:00,Private Residence or Property,9,Injury during arrest,Officers Actions within Policy,,
200312-0230,JUSTIN P VIAU,Police Officer,2154,2003-12-04 15:32:00,Private Residence or Property,9,Individual Issued Mace,Officers Actions within Policy,,
200403-0092,JUSTIN P VIAU,Police Officer,2154,2004-03-11 21:15:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200403-0096,JUSTIN P VIAU,Police Officer,2154,2004-03-11 21:15:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200411-0048,JUSTIN P VIAU,Police Officer,2154,2004-09-28 20:54:00,Street/Alley,9,Injury during arrest,Officers Actions within Policy,,
200411-0164,JUSTIN P VIAU,Police Officer,2154,2004-09-25 17:13:00,Public Building or Property,9,Striking Hands / Feet,Officers Actions within Policy,,
200504-0266,JUSTIN P VIAU,Police Officer,2154,2005-04-28 21:10:00,Police Vehicle,9,Individual Issued Mace,Officers Actions within Policy,,
200505-0159,JUSTIN P VIAU,Police Officer,2154,2005-05-10 15:15:00,Police Vehicle,9,Individual Issued Mace,Officers Actions within Policy,,
200505-0159,JUSTIN P VIAU,Police Officer,2154,2005-05-10 15:15:00,Police Vehicle,9,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200511-0075,JUSTIN P VIAU,Police Officer,2154,2005-11-12 15:00:00,Street/Alley,9,Force,Unfounded,,
200511-0091,JUSTIN P VIAU,Police Officer,2154,2005-11-12 15:45:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200511-0091,JUSTIN P VIAU,Police Officer,2154,2005-11-12 15:45:00,Street/Alley,9,Injury during arrest,Officers Actions within Policy,,
200602-0065,JUSTIN P VIAU,Police Officer,2154,2005-11-30 19:40:00,Street/Alley,9,Striking Hands / Feet,Officers Actions within Policy,,
200602-0065,JUSTIN P VIAU,Police Officer,2154,2005-11-30 19:40:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200602-0065,JUSTIN P VIAU,Police Officer,2154,2005-11-30 19:40:00,Street/Alley,9,Injury during arrest,Officers Actions within Policy,,
200603-0094,JUSTIN P VIAU,Police Officer,2154,2006-03-09 21:27:00,Private Residence or Property,9,Individual Issued Mace,Officers Actions within Policy,,
200603-0100,JUSTIN P VIAU,Police Officer,2154,2006-01-26 14:50:00,Street/Alley,F,Striking Hands / Feet,Officers Actions within Policy,,
200603-0100,JUSTIN P VIAU,Police Officer,2154,2006-01-26 14:50:00,Street/Alley,F,Injury during arrest,Officers Actions within Policy,,
200607-0078,JUSTIN P VIAU,Police Officer,2154,2006-07-11 20:12:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200706-0033,JUSTIN P VIAU,Police Officer,2154,2007-05-09 20:02:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200712-0151,JUSTIN P VIAU,Police Officer,2154,2007-12-04 16:30:00,Street/Alley,9,Striking Hands / Feet,Officers Actions within Policy,,
200903-0316,JUSTIN P VIAU,Police Officer,2154,2009-03-20 20:51:00,Private Residence or Property,9,Injury after arrest (transporting / processing),Officers Actions within Policy,,
200905-0183,JUSTIN P VIAU,Police Officer,2154,2009-05-01 18:13:00,Private Residence or Property,14,Striking Hands / Feet,Officers Actions within Policy,,
200905-0183,JUSTIN P VIAU,Police Officer,2154,2009-05-01 18:13:00,Private Residence or Property,14,Individual Issued Mace,Officers Actions within Policy,,
200905-0183,JUSTIN P VIAU,Police Officer,2154,2009-05-01 18:13:00,Private Residence or Property,14,Injury during arrest,Officers Actions within Policy,,
200909-0186,JUSTIN P VIAU,Police Officer,2154,2009-09-14 11:00:00,Street/Alley,14,Individual Issued Mace,Officers Actions within Policy,,
201006-0008,JUSTIN P VIAU,Police Officer,2154,2010-04-25 20:02:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
201107-0144,JUSTIN P VIAU,Police Officer,2154,2011-06-14 20:37:00,Street/Alley,14,Individual Issued Mace,Officers Actions within Policy,,
201107-0144,JUSTIN P VIAU,Police Officer,2154,2011-06-14 20:37:00,Street/Alley,14,Injury during arrest,Officers Actions within Policy,,
201111-0097,JUSTIN P VIAU,Police Officer,2154,2011-10-23 8:31:00,Private Residence or Property,13,Injury during arrest,Officers Actions within Policy,,
201202-0093,JUSTIN P VIAU,Police Officer,2154,2011-12-28 17:43:00,Street/Alley,9,Striking Hands / Feet,Officers Actions within Policy,,
201202-0093,JUSTIN P VIAU,Police Officer,2154,2011-12-28 17:43:00,Street/Alley,9,Injury during arrest,Officers Actions within Policy,,
201309-0129,JUSTIN P VIAU,Police Officer,2154,2013-09-13 18:29:00,Other,9,Injury during arrest,Officers Actions within Policy,,
200206-0165,JAMES M JUDE,Police Officer,2155,2002-06-22 15:38:28,Street/Alley,12,Individual Issued Mace,Officers Actions within Policy,,
200207-0016,JAMES M JUDE,Police Officer,2155,2002-06-07 13:01:11,Street/Alley,16,Injury during arrest,Officers Actions within Policy,,
200409-0020,JAMES M JUDE,Police Officer,2155,2004-08-31 22:55:00,Police Vehicle,13,Individual Issued Mace,Officers Actions within Policy,,
200602-0061,JAMES M JUDE,Police Officer,2155,2006-01-19 0:40:00,Police Vehicle,14,Individual Issued Mace,Officers Actions within Policy,,
200609-0075,JAMES M JUDE,Police Officer,2155,2006-09-10 1:45:00,Bar,16,Individual Issued Mace,Officers Actions within Policy,,
200701-0331,JAMES M JUDE,Police Officer,2155,2007-01-23 23:10:00,Private Residence or Property,14,Individual Issued Mace,Officers Actions within Policy,,
200702-0175,JAMES M JUDE,Police Officer,2155,2007-02-10 0:10:00,Bar,16,Individual Issued Mace,Officers Actions within Policy,,
200706-0009,JAMES M JUDE,Police Officer,2155,2007-05-25 2:00:00,Street/Alley,13,Individual Issued Mace,Officers Actions within Policy,,
200708-0223,JAMES M JUDE,Police Officer,2155,2007-08-01 20:20:00,Private Residence or Property,13,Individual Issued Mace,Officers Actions within Policy,,
200708-0273,JAMES M JUDE,Police Officer,2155,2007-08-01 20:20:00,Private Residence or Property,13,Individual Issued Mace,Officers Actions within Policy,,
200806-0210,JAMES M JUDE,Police Officer,2155,2008-06-01 2:30:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
200912-0001,JAMES M JUDE,Police Officer,2155,2009-11-08 0:10:00,Bar,16,Individual Issued Mace,Officers Actions within Policy,,
201008-0031,JAMES M JUDE,Police Officer,2155,2010-07-03 3:00:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
201106-0228,JAMES M JUDE,Police Officer,2155,2011-06-14 3:00:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
201306-0335,JAMES M JUDE,Police Officer,2155,2013-06-17 10:15:00,Private Residence or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200203-0037,ISAAC H BRIDGES,Police Officer,2156,2002-02-13 16:50:00,Private Residence or Property,18,Injury during arrest,Officers Actions within Policy,,
200210-0017,ISAAC H BRIDGES,Police Officer,2156,2002-09-12 18:39:00,Private Residence or Property,18,Individual Issued Mace,Officers Actions within Policy,,
200303-0261,ISAAC H BRIDGES,Police Officer,2156,2003-03-28 22:30:00,Public Building or Property,16,Injury during arrest,Officers Actions within Policy,,
200810-0112,ISAAC H BRIDGES,Police Officer,2156,2008-10-06 17:45:00,Private Residence or Property,2,Individual Issued Mace,Officers Actions within Policy,,
201103-0198,ISAAC H BRIDGES,Police Officer,2156,2011-02-25 20:37:00,Private Residence or Property,15,Injury during arrest,Officers Actions within Policy,,
201104-0183,ISAAC H BRIDGES,Police Officer,2156,2011-04-15 22:09:00,Private Residence or Property,15,Injury during arrest,Officers Actions within Policy,,
200410-0248,MELANIE L STEVENS,Police Officer,2157,2004-10-10 0:58:00,Bar,14,Individual Issued Mace,Officers Actions within Policy,,
200606-0182,MELANIE L STEVENS,Police Officer,2157,2006-06-10 2:38:00,Private Residence or Property,14,Injury during arrest,Officers Actions within Policy,,
200611-0053,MELANIE L STEVENS,Police Officer,2157,2006-11-07 23:59:00,Business Building Or Property,14,Firearm Used,Officers Actions within Policy,,
201307-0147,MELANIE L STEVENS,Police Officer,2157,2013-05-19 17:50:00,Business Building Or Property,5,Striking Hands / Feet,Officers Actions within Policy,,
201307-0147,MELANIE L STEVENS,Police Officer,2157,2013-05-19 17:50:00,Business Building Or Property,5,Injury during arrest,Officers Actions within Policy,,
200208-0131,WILLIAM L EDEN,Police Officer,2158,2002-08-16 4:15:00,Private Residence or Property,15,Force,Not Sustained,,
200208-0131,WILLIAM L EDEN,Police Officer,2158,2002-08-16 4:15:00,Private Residence or Property,15,Force,Unfounded,,
200310-0144,WILLIAM L EDEN,Police Officer,2158,2003-09-27 0:37:00,Private Residence or Property,14,Injury during arrest,Officers Actions within Policy,,
200401-0123,WILLIAM L EDEN,Police Officer,2158,2004-01-16 0:30:00,Street/Alley,14,Force,Unfounded,,
200411-0073,WILLIAM L EDEN,Police Officer,2158,2004-10-26 4:35:00,Street/Alley,14,Individual Issued Mace,Officers Actions within Policy,,
200502-0212,WILLIAM L EDEN,Police Officer,2158,2005-01-13 0:35:00,Street/Alley,14,Firearm Used,Officers Actions within Policy,,
200502-0212,WILLIAM L EDEN,Police Officer,2158,2005-01-13 0:35:00,Street/Alley,14,Striking Hands / Feet,Officers Actions within Policy,,
200502-0212,WILLIAM L EDEN,Police Officer,2158,2005-01-13 0:35:00,Street/Alley,14,Striking Weapon,Officers Actions within Policy,,
200504-0184,WILLIAM L EDEN,Police Officer,2158,2005-04-14 3:45:00,Private Residence or Property,14,Force,Unfounded,,
200608-0222,WILLIAM L EDEN,Police Officer,2158,2006-08-27 4:40:00,Private Residence or Property,14,Force,Not Sustained,,
200608-0239,WILLIAM L EDEN,Police Officer,2158,2006-08-07 23:53:00,Street/Alley,14,Individual Issued Mace,Officers Actions within Policy,,
200709-0076,WILLIAM L EDEN,Police Officer,2158,2007-08-07 3:00:00,Business Building Or Property,14,Injury during arrest,Officers Actions within Policy,,
200108-0240,MARILYN A VENABLE,Police Officer,2159,2001-07-22 12:16:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200507-0070,MARILYN A VENABLE,Police Officer,2159,2005-07-04 2:45:00,Street/Alley,12,Individual Issued Mace,Officers Actions within Policy,,
200107-0217,SHAWN E BARTON,Police Officer,2160,2001-07-18 14:11:00,Street/Alley,11,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200202-0011,SHAWN E BARTON,Police Officer,2160,2002-01-22 16:55:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200205-0124,SHAWN E BARTON,Police Officer,2160,2002-05-10 15:15:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200209-0003,SHAWN E BARTON,Police Officer,2160,2002-07-28 15:42:00,Private Residence or Property,11,Striking Hands / Feet,Officers Actions within Policy,,
200209-0003,SHAWN E BARTON,Police Officer,2160,2002-07-28 15:42:00,Private Residence or Property,11,Striking Hands / Feet,Officers Actions within Policy,,
200209-0003,SHAWN E BARTON,Police Officer,2160,2002-07-28 15:42:00,Private Residence or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200211-0039,SHAWN E BARTON,Police Officer,2160,2002-10-29 16:15:00,Police Vehicle,11,Individual Issued Mace,Officers Actions within Policy,,
200302-0176,SHAWN E BARTON,Police Officer,2160,2003-02-25 20:19:00,Private Residence or Property,11,Force,Unfounded,,
200304-0071,SHAWN E BARTON,Police Officer,2160,2003-04-09 15:10:00,Private Residence or Property,12,Individual Issued Mace,Officers Actions within Policy,,
200307-0023,SHAWN E BARTON,Police Officer,2160,2003-06-16 2:25:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
200309-0005,SHAWN E BARTON,Police Officer,2160,2003-08-28 15:25:00,Private Residence or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200310-0056,SHAWN E BARTON,Police Officer,2160,2003-10-02 16:30:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200310-0142,SHAWN E BARTON,Police Officer,2160,2003-10-16 23:30:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
200311-0071,SHAWN E BARTON,Police Officer,2160,2003-11-07 14:38:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200312-0036,SHAWN E BARTON,Police Officer,2160,2003-11-19 20:25:00,Street/Alley,11,Striking Hands / Feet,Officers Actions within Policy,,
200312-0036,SHAWN E BARTON,Police Officer,2160,2003-11-19 20:25:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200312-0191,SHAWN E BARTON,Police Officer,2160,2003-11-22 20:00:00,Police Vehicle,11,Individual Issued Mace,Officers Actions within Policy,,
200401-0173,SHAWN E BARTON,Police Officer,2160,2004-01-20 15:04:00,Private Residence or Property,11,Striking Hands / Feet,Officers Actions within Policy,,
200403-0036,SHAWN E BARTON,Police Officer,2160,2004-03-03 16:32:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200405-0014,SHAWN E BARTON,Police Officer,2160,2004-04-29 14:55:00,Business Building Or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200408-0186,SHAWN E BARTON,Police Officer,2160,2004-08-21 19:30:00,Private Residence or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200409-0111,SHAWN E BARTON,Police Officer,2160,2004-09-15 17:10:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200410-0086,SHAWN E BARTON,Police Officer,2160,2004-09-28 14:25:00,Police Vehicle,11,Individual Issued Mace,Officers Actions within Policy,,
200410-0172,SHAWN E BARTON,Police Officer,2160,2004-10-16 20:43:00,Private Residence or Property,11,Injury during arrest,Officers Actions within Policy,,
200412-0189,SHAWN E BARTON,Police Officer,2160,2004-04-08 23:55:00,Business Building Or Property,18,Individual Issued Mace,Officers Actions within Policy,,
200504-0047,SHAWN E BARTON,Police Officer,2160,2005-03-01 16:22:00,Private Residence or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200506-0180,SHAWN E BARTON,Police Officer,2160,2005-06-21 14:30:00,Street/Alley,11,Force,Unfounded,,
200510-0136,SHAWN E BARTON,Police Officer,2160,2005-10-12 21:21:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200606-0074,SHAWN E BARTON,Police Officer,2160,2006-06-09 16:40:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200206-0041,CHRISTOPHER G CHAPMAN,Police Officer,2161,2002-05-31 17:15:00,Police Vehicle,9,Individual Issued Mace,Officers Actions within Policy,,
200208-0053,CHRISTOPHER G CHAPMAN,Police Officer,2161,2002-08-04 8:28:04,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200403-0092,CHRISTOPHER G CHAPMAN,Police Officer,2161,2004-03-11 21:15:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200403-0096,CHRISTOPHER G CHAPMAN,Police Officer,2161,2004-03-11 21:15:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200703-0119,CHRISTOPHER G CHAPMAN,Police Officer,2161,2007-03-15 15:33:00,Street/Alley,9,Force,Unfounded,,
200706-0033,CHRISTOPHER G CHAPMAN,Police Officer,2161,2007-05-09 20:02:00,Street/Alley,9,Striking Hands / Feet,Officers Actions within Policy,,
200706-0033,CHRISTOPHER G CHAPMAN,Police Officer,2161,2007-05-09 20:02:00,Street/Alley,9,Individual Issued Mace,Officers Actions within Policy,,
200712-0151,CHRISTOPHER G CHAPMAN,Police Officer,2161,2007-12-04 16:30:00,Street/Alley,9,Striking Hands / Feet,Officers Actions within Policy,,
200811-0100,CHRISTOPHER G CHAPMAN,Police Officer,2161,2008-11-08 10:09:00,Street/Alley,6,Individual Issued Mace,Officers Actions within Policy,,
200904-0020,CHRISTOPHER G CHAPMAN,Police Officer,2161,2009-03-27 17:43:00,Private Residence or Property,7,Individual Issued Mace,Officers Actions within Policy,,
200905-0188,CHRISTOPHER G CHAPMAN,Police Officer,2161,2009-05-31 9:00:00,Private Residence or Property,6,Force,Unfounded,,
201005-0195,CHRISTOPHER G CHAPMAN,Police Officer,2161,2010-03-02 9:15:00,Private Residence or Property,11,Individual Issued Mace,Officers Actions within Policy,,
201203-0246,CHRISTOPHER G CHAPMAN,Police Officer,2161,2012-03-10 9:36:00,Street/Alley,14,Individual Issued Mace,Officers Actions within Policy,,
200103-0115,ALISA A WILSON,Police Officer,2162,2001-02-10 0:50:00,Bar,11,Individual Issued Mace,Officers Actions within Policy,,
200208-0020,ALISA A WILSON,Police Officer,2162,2002-07-26 13:45:48,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
200210-0021,ALISA A WILSON,Police Officer,2162,2002-08-07 5:41:00,Police Vehicle,16,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200104-0046,JEFFREY J HALL,Police Officer,2163,2001-03-22 20:32:00,Private Residence or Property,17,Individual Issued Mace,Officers Actions within Policy,,
200211-0162,JEFFREY J HALL,Police Officer,2163,2002-11-02 1:50:00,Private Residence or Property,4,Individual Issued Mace,Officers Actions within Policy,,
200309-0245,JEFFREY J HALL,Police Officer,2163,2003-09-28 1:58:00,Business Building Or Property,4,Individual Issued Mace,Officers Actions within Policy,,
200406-0088,JEFFREY J HALL,Police Officer,2163,2004-05-09 2:35:00,Street/Alley,4,Individual Issued Mace,Officers Actions within Policy,,
200406-0220,JEFFREY J HALL,Police Officer,2163,2004-06-19 22:40:00,Street/Alley,16,Individual Issued Mace,Officers Actions within Policy,,
200511-0081,JEFFREY J HALL,Police Officer,2163,2004-08-19 1:00:00,Private Residence or Property,4,Force,Unfounded per Article 8.12,,
200609-0197,JEFFREY J HALL,Police Officer,2163,2006-07-30 0:22:00,Street/Alley,1,Individual Issued Mace,Officers Actions within Policy,,
200610-0108,JEFFREY J HALL,Police Officer,2163,2006-09-22 23:58:00,Bar,4,Individual Issued Mace,Officers Actions within Policy,,
200702-0052,JEFFREY J HALL,Police Officer,2163,2006-09-16 23:00:00,Street/Alley,4,Individual Issued Mace,Officers Actions within Policy,,
200706-0121,JEFFREY J HALL,Police Officer,2163,2007-05-26 1:25:00,Bar,17,Individual Issued Mace,Officers Actions within Policy,,
200807-0145,JEFFREY J HALL,Police Officer,2163,2008-07-04 1:20:00,Business Building Or Property,16,Individual Issued Mace,Officers Actions within Policy,,
200808-0247,JEFFREY J HALL,Police Officer,2163,2008-08-13 22:15:00,Private Residence or Property,3,"Injury during contact with officers, no arrest made",Officers Actions within Policy,,
200912-0032,JEFFREY J HALL,Police Officer,2163,2009-11-11 19:50:00,Private Residence or Property,17,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201201-0180,JEFFREY J HALL,Police Officer,2163,2011-12-17 1:48:00,Private Residence or Property,4,Injury during arrest,Officers Actions within Policy,,
200109-0043,STANFORD B SPEAKS,Police Officer,2164,2001-09-08 18:30:00,Street/Alley,12,Striking Hands / Feet,Officers Actions within Policy,,
200109-0043,STANFORD B SPEAKS,Police Officer,2164,2001-09-08 18:30:00,Street/Alley,12,Force,Unfounded,,
200110-0197,STANFORD B SPEAKS,Police Officer,2164,2001-09-23 3:30:00,Bar,18,Individual Issued Mace,Officers Actions within Policy,,
200111-0089,STANFORD B SPEAKS,Police Officer,2164,2001-11-02 21:54:00,Business Building Or Property,11,Injury during arrest,Officers Actions within Policy,,
200202-0091,STANFORD B SPEAKS,Police Officer,2164,2002-01-19 19:12:00,Private Residence or Property,12,Striking Hands / Feet,Officers Actions within Policy,,
200202-0091,STANFORD B SPEAKS,Police Officer,2164,2002-01-19 19:12:00,Private Residence or Property,12,Striking Weapon,Officers Actions within Policy,,
200202-0091,STANFORD B SPEAKS,Police Officer,2164,2002-01-19 19:12:00,Private Residence or Property,12,Injury during arrest,Officers Actions within Policy,,
200203-0015,STANFORD B SPEAKS,Police Officer,2164,2002-03-03 2:15:00,Bar,18,Use of Mace,Cancelled for Cause,,
200203-0088,STANFORD B SPEAKS,Police Officer,2164,2002-02-19 2:46:00,Business Building Or Property,18,Striking Weapon,Officers Actions within Policy,,
200203-0088,STANFORD B SPEAKS,Police Officer,2164,2002-02-19 2:46:00,Business Building Or Property,18,Individual Issued Mace,Officers Actions within Policy,,
200205-0088,STANFORD B SPEAKS,Police Officer,2164,2002-04-18 21:00:00,Street/Alley,6,Striking Hands / Feet,Officers Actions within Policy,,
200206-0207,STANFORD B SPEAKS,Police Officer,2164,2002-06-24 12:00:21,Public Building or Property,18,Individual Issued Mace,Officers Actions within Policy,,
200210-0178,STANFORD B SPEAKS,Police Officer,2164,2002-09-23 20:40:00,Private Residence or Property,12,Striking Hands / Feet,Officers Actions within Policy,,
200210-0178,STANFORD B SPEAKS,Police Officer,2164,2002-09-23 20:40:00,Private Residence or Property,12,Individual Issued Mace,Officers Actions within Policy,,
200211-0191,STANFORD B SPEAKS,Police Officer,2164,2002-08-12 0:20:00,Bar,18,Striking Hands / Feet,Officers Actions within Policy,,
200211-0191,STANFORD B SPEAKS,Police Officer,2164,2002-08-12 0:20:00,Bar,18,Individual Issued Mace,Officers Actions within Policy,,
200309-0011,STANFORD B SPEAKS,Police Officer,2164,2003-08-19 18:46:00,Street/Alley,6,Striking Hands / Feet,Officers Actions within Policy,,
200401-0152,STANFORD B SPEAKS,Police Officer,2164,2004-01-25 2:25:00,Bar,18,Firearm Used,Officers Actions within Policy,,
200403-0075,STANFORD B SPEAKS,Police Officer,2164,2004-03-13 2:30:00,Street/Alley,2,Force,Not Sustained,,
200407-0160,STANFORD B SPEAKS,Police Officer,2164,2004-07-15 15:05:00,Street/Alley,12,Display / Use of Firearms,Withdrawn,,
200410-0030,STANFORD B SPEAKS,Police Officer,2164,2004-09-26 16:52:00,Street/Alley,12,Individual Issued Mace,Officers Actions within Policy,,
200504-0278,STANFORD B SPEAKS,Police Officer,2164,2005-04-30 18:00:00,Street/Alley,6,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200506-0210,STANFORD B SPEAKS,Police Officer,2164,2005-06-26 2:46:00,Business Building Or Property,7,Force,Unfounded,,
200506-0210,STANFORD B SPEAKS,Police Officer,2164,2005-06-26 2:46:00,Business Building Or Property,7,Handling of Prisoner,Not Sustained,,
200603-0203,STANFORD B SPEAKS,Police Officer,2164,2006-03-27 23:56:00,Business Building Or Property,18,Firearm Used,Officers Actions within Policy,,
200604-0108,STANFORD B SPEAKS,Police Officer,2164,2006-04-04 19:20:00,Private Residence or Property,11,Injury during arrest,Officers Actions within Policy,,
200607-0090,STANFORD B SPEAKS,Police Officer,2164,2006-07-16 2:40:00,Street/Alley,9,Use of Mace,Unfounded,,
200608-0075,STANFORD B SPEAKS,Police Officer,2164,2006-06-03 23:30:00,Street/Alley,14,Injury during arrest,Officers Actions within Policy,,
200811-0134,STANFORD B SPEAKS,Police Officer,2164,2008-10-28 19:50:00,Street/Alley,11,Striking Hands / Feet,Officers Actions within Policy,,
201003-0201,STANFORD B SPEAKS,Police Officer,2164,2010-03-18 16:00:00,Private Residence or Property,11,Injury during arrest,Officers Actions within Policy,,
201004-0026,STANFORD B SPEAKS,Police Officer,2164,2010-04-05 15:10:00,Street/Alley,11,Force,Unfounded,,
201007-0181,STANFORD B SPEAKS,Police Officer,2164,2010-06-28 18:08:00,Street/Alley,13,Injury during arrest,Officers Actions within Policy,,
201009-0319,STANFORD B SPEAKS,Police Officer,2164,2010-09-28 14:56:00,Street/Alley,11,Force,Unfounded,,
201708-1009,STANFORD B SPEAKS,Police Officer,2164,2017-08-06 2:00:00,Bar,18,Force,Withdrawn,,
200204-0207,JASON T GARNER,Police Officer,2165,2002-03-18 22:33:00,Private Residence or Property,13,Individual Issued Mace,Officers Actions within Policy,,
200205-0089,JASON T GARNER,Police Officer,2165,2002-05-04 0:11:00,Public Building or Property,13,Individual Issued Mace,Officers Actions within Policy,,
200209-0041,JASON T GARNER,Police Officer,2165,2002-08-22 19:14:00,Street/Alley,13,Individual Issued Mace,Officers Actions within Policy,,
